"","Sample.Name","location","loci","allele1","alllele2"
"359","scul409","Fairhaven Lake Ontario","loc17",105,111
"407","scul409","Fairhaven Lake Ontario","loc13",233,233
"14","scul410","Fairhaven Lake Ontario","loc105",326,330
"62","scul410","Fairhaven Lake Ontario","loc128",318,332
"110","scul410","Fairhaven Lake Ontario","loc11",204,222
"158","scul410","Fairhaven Lake Ontario","loc113",138,138
"206","scul410","Fairhaven Lake Ontario","loc213",331,331
"254","scul410","Fairhaven Lake Ontario","loc2",236,242
"302","scul410","Fairhaven Lake Ontario","loc8",102,105
"350","scul410","Fairhaven Lake Ontario","loc17",117,120
"398","scul410","Fairhaven Lake Ontario","loc13",233,239
"11","scul411","Fairhaven Lake Ontario","loc105",326,338
"59","scul411","Fairhaven Lake Ontario","loc128",0,0
"107","scul411","Fairhaven Lake Ontario","loc11",204,222
"155","scul411","Fairhaven Lake Ontario","loc113",132,140
"203","scul411","Fairhaven Lake Ontario","loc213",331,331
"251","scul411","Fairhaven Lake Ontario","loc2",236,248
"299","scul411","Fairhaven Lake Ontario","loc8",102,102
"347","scul411","Fairhaven Lake Ontario","loc17",99,126
"395","scul411","Fairhaven Lake Ontario","loc13",233,248
"17","scul412","Fairhaven Lake Ontario","loc105",326,326
"65","scul412","Fairhaven Lake Ontario","loc128",318,332
"113","scul412","Fairhaven Lake Ontario","loc11",204,222
"161","scul412","Fairhaven Lake Ontario","loc113",138,138
"209","scul412","Fairhaven Lake Ontario","loc213",331,331
"257","scul412","Fairhaven Lake Ontario","loc2",236,236
"305","scul412","Fairhaven Lake Ontario","loc8",102,102
"353","scul412","Fairhaven Lake Ontario","loc17",120,123
"401","scul412","Fairhaven Lake Ontario","loc13",227,233
"30","scul413","Fairhaven Lake Ontario","loc105",326,326
"78","scul413","Fairhaven Lake Ontario","loc128",318,324
"126","scul413","Fairhaven Lake Ontario","loc11",204,222
"174","scul413","Fairhaven Lake Ontario","loc113",138,138
"222","scul413","Fairhaven Lake Ontario","loc213",331,331
"270","scul413","Fairhaven Lake Ontario","loc2",239,245
"318","scul413","Fairhaven Lake Ontario","loc8",102,102
"366","scul413","Fairhaven Lake Ontario","loc17",114,117
"414","scul413","Fairhaven Lake Ontario","loc13",227,233
"5","scul414","Fairhaven Lake Ontario","loc105",326,326
"53","scul414","Fairhaven Lake Ontario","loc128",316,332
"101","scul414","Fairhaven Lake Ontario","loc11",222,222
"149","scul414","Fairhaven Lake Ontario","loc113",138,138
"197","scul414","Fairhaven Lake Ontario","loc213",331,331
"245","scul414","Fairhaven Lake Ontario","loc2",236,236
"293","scul414","Fairhaven Lake Ontario","loc8",102,102
"341","scul414","Fairhaven Lake Ontario","loc17",117,123
"389","scul414","Fairhaven Lake Ontario","loc13",227,233
"32","scul415","Fairhaven Lake Ontario","loc105",326,326
"80","scul415","Fairhaven Lake Ontario","loc128",318,332
"128","scul415","Fairhaven Lake Ontario","loc11",222,226
"176","scul415","Fairhaven Lake Ontario","loc113",138,138
"224","scul415","Fairhaven Lake Ontario","loc213",331,331
"272","scul415","Fairhaven Lake Ontario","loc2",236,245
"320","scul415","Fairhaven Lake Ontario","loc8",102,108
"368","scul415","Fairhaven Lake Ontario","loc17",114,129
"416","scul415","Fairhaven Lake Ontario","loc13",233,233
